দৌলতপুর,0.142857,0.142857,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,0.285714,0.285714,0.285714,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.285714,0.000000,0.285714,0.142857,0.142857,0.142857,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.142857,0.142857,0.142857,0.000000,0.000000,0.000000,0.000000,0.142857,0.285714,0.142857,0.142857,0.000000,0.000000,0.285714
খান্ডরা,0.142857,0.128571,0.142857,0.000000,0.142857,0.000000,0.000000,0.000000,0.142857,0.142857,0.000000,0.000000,0.142857,0.128571,0.285714,0.285714,0.114286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.142857,0.142857,0.000000,0.142857,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.285714,0.285714,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.142857,0.142857,0.000000,0.000000,0.142857
এমডলে,0.200000,0.000000,0.200000,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.200000,0.200000,0.200000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.400000,0.000000
কলাবেড়িয়া,0.111111,0.222222,0.222222,0.111111,0.000000,0.000000,0.111111,0.000000,0.111111,0.111111,0.000000,0.000000,0.222222,0.111111,0.222222,0.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.111111,0.000000,0.000000,0.000000,0.111111,0.111111,0.111111,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.111111,0.111111,0.000000,0.333333,0.333333,0.111111,0.000000,0.000000,0.000000,0.000000,0.111111,0.111111,0.111111,0.000000,0.000000,0.111111
জোরেপাকড়ি,0.111111,0.222222,0.111111,0.000000,0.111111,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.111111,0.000000,0.111111,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.222222,0.222222,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.333333,0.333333,0.111111,0.111111,0.000000,0.111111,0.000000,0.111111,0.111111,0.111111,0.000000,0.111111,0.111111
কল্যানচাক,0.111111,0.222222,0.222222,0.111111,0.000000,0.000000,0.111111,0.000000,0.111111,0.111111,0.000000,0.000000,0.222222,0.111111,0.111111,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222,0.111111,0.000000,0.000000,0.000000,0.111111,0.222222,0.222222,0.088889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.333333,0.333333,0.000000,0.111111,0.000000,0.111111,0.111111,0.111111,0.111111,0.000000,0.000000,0.111111,0.222222
কিচাই,0.200000,0.200000,0.200000,0.000000,0.000000,0.000000,0.200000,0.000000,0.200000,0.200000,0.000000,0.000000,0.200000,0.200000,0.200000,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.200000,0.000000,0.200000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.400000,0.200000,0.200000,0.000000,0.000000,0.200000,0.000000,0.200000,0.000000,0.000000,0.000000,0.200000,0.000000
দেবনান্দপুর,0.090909,0.090909,0.090909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090909,0.000000,0.090909,0.090909,0.000000,0.272727,0.272727,0.072727,0.000000,0.000000,0.000000,0.000000,0.090909,0.090909,0.000000,0.000000,0.090909,0.090909,0.181818,0.181818,0.072727,0.000000,0.000000,0.000000,0.000000,0.090909,0.090909,0.000000,0.000000,0.090909,0.000000,0.181818,0.181818,0.090909,0.000000,0.000000,0.000000,0.090909,0.181818,0.090909,0.090909,0.000000,0.000000,0.272727
ইসলামপুর,0.125000,0.250000,0.125000,0.125000,0.000000,0.000000,0.250000,0.000000,0.125000,0.000000,0.000000,0.000000,0.125000,0.125000,0.250000,0.250000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.125000,0.000000,0.250000,0.250000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.125000,0.250000,0.125000,0.125000,0.000000,0.000000,0.000000,0.000000,0.125000,0.250000,0.125000,0.125000,0.000000,0.000000,0.250000
কেশবপুর,0.142857,0.142857,0.142857,0.000000,0.000000,0.000000,0.142857,0.000000,0.142857,0.142857,0.000000,0.000000,0.142857,0.142857,0.128571,0.142857,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.285714,0.000000,0.285714,0.285714,0.142857,0.000000,0.000000,0.000000,0.000000,0.142857,0.142857,0.000000,0.000000,0.000000,0.285714,0.142857,0.142857,0.000000,0.000000,0.000000,0.000000,0.142857,0.285714,0.142857,0.142857,0.000000,0.000000,0.285714
